,שם המנפיק/שם נייר ערך,קונסורציום כן/לא,"מספר ני""ע",דירוג,שם מדרג,"מח""מ",סוג מטבע,שיעור ריבית ממוצע,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מעלות,שקל חדש
,,,,,,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מידרוג,דולר אמריקאי
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,פנימי,אירו
,"סה""כ הלוואות",,,,,5.99,,,3.25,"1,326,070,213.09",,"1,694,632.98",100.00,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אחר,לירה שטרלינג
,בישראל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,כנגד חסכון עמיתים/מבוטחים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54064,A+,מעלות,6.81,שקל חדש,5.50,3.00,"446,064.41",119.94,535.01,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54072,A+,מעלות,6.75,שקל חדש,5.50,3.32,"888,355.64",117.45,"1,043.37",0.06,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54080,A+,מעלות,6.63,שקל חדש,5.50,3.99,"559,281.15",112.47,629.02,0.04,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54098,A+,מעלות,6.59,שקל חדש,5.50,4.20,"314,452.56",110.98,348.98,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54106,A+,מעלות,6.68,שקל חדש,5.50,3.70,"934,843.28",114.64,"1,071.70",0.06,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54114,A+,מעלות,6.66,שקל חדש,5.50,3.80,"366,922.49",113.88,417.85,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54122,A+,מעלות,6.80,שקל חדש,5.50,3.03,"2,442,429.41",119.74,"2,924.56",0.17,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ה",כן,54130,A+,מעלות,6.75,שקל חדש,5.50,3.32,"4,771,067.54",117.43,"5,602.66",0.33,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם ל""ו",כן,53702,A1,מידרוג,7.04,שקל חדש,2.48,2.63,"95,049,206.55",99.13,"94,222.28",5.56,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם נ""ד",לא,21097,A+,פנימי,6.10,שקל חדש,3.45,2.62,"40,687,500.00",105.24,"42,819.53",2.53,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם נ""ה",כן,36228,A1,מידרוג,11.35,שקל חדש,4.50,2.21,"6,624,672.65",113.36,"7,509.73",0.44,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם נ""ה",כן,36251,A1,מידרוג,11.37,שקל חדש,4.50,2.04,"1,299,689.92",115.59,"1,502.31",0.09,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם נ""ה",כן,80507,A1,מידרוג,11.31,שקל חדש,4.50,2.44,"4,759,699.81",110.57,"5,262.80",0.31,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם נ""ה",כן,80556,A1,מידרוג,11.34,שקל חדש,4.50,2.27,"4,478,353.95",112.66,"5,045.31",0.30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם נ""ה",כן,80572,A1,מידרוג,11.33,שקל חדש,4.50,2.31,"2,379,816.75",112.07,"2,667.06",0.16,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גורם נ""ה",כן,80630,A1,מידרוג,11.28,שקל חדש,4.50,2.62,"4,121,100.30",108.37,"4,466.04",0.26,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
